tsne1,tsne2,reciter
6.478413,-4.7215157,Bander_Balilah
-8.611013,-1.6754549,Bander_Balilah
6.419127,-4.5704308,Bander_Balilah
-9.125011,-1.3792018,Bander_Balilah
-10.732419,1.8517182,Bander_Balilah
1.9790101,10.583036,Bander_Balilah
-5.885668,-4.588754,Bander_Balilah
-10.8388405,1.1108166,Bander_Balilah
-5.903455,-4.5840063,Bander_Balilah
-10.806622,0.50597537,Bander_Balilah
-10.176866,0.039021105,Bander_Balilah
-3.0925813,8.103366,Bander_Balilah
-6.054784,-4.4040384,Bander_Balilah
-5.869433,-4.6291375,Bander_Balilah
3.914561,11.177101,Bander_Balilah
-10.633056,3.8701084,Bander_Balilah
-5.726507,-4.775009,Bander_Balilah
-10.878851,1.0249963,Bander_Balilah
-2.6312845,-3.0820081,Bander_Balilah
-8.669541,-1.7137815,Bander_Balilah
-8.659677,-1.6979725,Bander_Balilah
6.650689,-6.258407,Bander_Balilah
-8.727118,-1.747683,Bander_Balilah
6.5371246,-5.669183,Bander_Balilah
-10.691277,0.487167,Bander_Balilah
-8.713145,-1.7530057,Bander_Balilah
6.5177355,-5.088713,Bander_Balilah
-8.829542,-1.5192434,Bander_Balilah
-2.5035841,-3.1186392,Bander_Balilah
3.699377,11.157291,Bander_Balilah
-10.683954,0.40188512,Bander_Balilah
-4.6333385,8.805179,Bander_Balilah
-5.5108023,-4.9431763,Bander_Balilah
-2.560351,-3.062683,Bander_Balilah
-8.976848,-1.1487346,Bander_Balilah
-5.583342,-4.8530746,Bander_Balilah
3.928224,11.080495,Bander_Balilah
-2.5062492,-3.0856743,Bander_Balilah
-5.6553454,-4.908507,Bander_Balilah
-2.6604583,5.743398,Bander_Balilah
-8.287944,-2.047665,Bander_Balilah
-3.8505423,6.4868393,Bander_Balilah
3.57198,11.24853,Bander_Balilah
-2.5909362,-3.0898154,Bander_Balilah
-2.6321294,-3.0270069,Bander_Balilah
-5.1893535,7.1975837,Bander_Balilah
-5.689905,-4.786616,Bander_Balilah
-10.8303995,0.92731076,Bander_Balilah
-10.632518,3.8423424,Bander_Balilah
-2.7734275,9.37298,Bander_Balilah
-10.860571,0.8428443,Bander_Balilah
-2.6559823,-3.0788715,Bander_Balilah
6.492521,-4.903812,Bander_Balilah
-10.673641,0.42509985,Bander_Balilah
3.5701547,11.3584585,Bander_Balilah
-8.911103,-1.3675289,Bander_Balilah
6.566423,-5.488466,Bander_Balilah
-5.3957424,-5.0647907,Bander_Balilah
-5.243443,-5.176356,Bander_Balilah
-2.0889344,9.807728,Bander_Balilah
-10.630675,3.970617,Bander_Balilah
3.6832616,11.23781,Bander_Balilah
-5.7922025,-4.6693826,Bander_Balilah
-2.5718544,-3.0842106,Bander_Balilah
-5.6841283,-4.7925653,Bander_Balilah
-10.569114,3.7941904,Bander_Balilah
-8.941995,-1.4252106,Bander_Balilah
3.4071014,11.324948,Bander_Balilah
-8.673082,-1.7363447,Bander_Balilah
-9.170089,-1.4332374,Bander_Balilah
-8.661569,-1.7431359,Bander_Balilah
-10.572327,0.29644465,Bander_Balilah
6.5076647,-4.9319916,Bander_Balilah
-10.602081,3.8332467,Bander_Balilah
-10.614756,3.8408315,Bander_Balilah
-10.076477,-0.07357547,Bander_Balilah
-2.6415198,-3.0796373,Bander_Balilah
6.704902,-6.248881,Bander_Balilah
-3.5655048,5.144527,Bander_Balilah
-2.8286014,9.330287,Bander_Balilah
-9.056852,-0.6157615,Bander_Balilah
3.2931092,11.308535,Bander_Balilah
6.653857,-6.075476,Bander_Balilah
6.6056,-5.8215084,Bander_Balilah
-10.639452,3.9409456,Bander_Balilah
-10.588342,3.7343688,Bander_Balilah
-2.6323397,-3.1079338,Bander_Balilah
-5.3127937,-5.124555,Bander_Balilah
-10.689553,0.43341255,Bander_Balilah
-10.796459,0.5800554,Bander_Balilah
-10.221936,4.2485647,Bander_Balilah
-10.857862,0.7086459,Bander_Balilah
-10.644042,3.8352172,Bander_Balilah
-8.866735,-1.5817572,Bander_Balilah
-10.80967,1.3051034,Bander_Balilah
-5.6674795,-4.690264,Bander_Balilah
4.668283,11.11107,Bander_Balilah
-2.4353907,9.520088,Bander_Balilah
-2.7846544,-3.1633563,Bander_Balilah
4.065958,10.709264,Bander_Balilah
6.399772,-4.3921084,Bander_Balilah
-4.993037,-5.6438518,Bander_Balilah
-10.650782,3.8500094,Bander_Balilah
-10.619452,3.7916443,Bander_Balilah
-10.626986,3.8831105,Bander_Balilah
6.4459634,-4.634438,Bander_Balilah
-10.816618,0.6205797,Bander_Balilah
6.438349,-4.631272,Bander_Balilah
-10.8466625,0.5916454,Bander_Balilah
-10.449351,0.2166308,Bander_Balilah
-10.556182,3.6565108,Bander_Balilah
-8.948067,-1.377312,Bander_Balilah
-3.3430226,4.99578,Bander_Balilah
-10.79954,0.5104453,Bander_Balilah
-9.089509,-1.3178214,Bander_Balilah
-10.542255,3.7133155,Bander_Balilah
-10.54327,3.7855463,Bander_Balilah
-8.301088,-1.9636713,Bander_Balilah
-2.2267284,8.607056,Bander_Balilah
-5.5111675,-4.907253,Bander_Balilah
-3.0230694,9.574919,Bander_Balilah
6.556094,-5.3398356,Bander_Balilah
-2.667239,5.8460736,Bander_Balilah
-9.030988,-1.4282398,Bander_Balilah
-10.359299,0.13877404,Bander_Balilah
-2.6133573,-3.0992436,Bander_Balilah
-2.590151,-3.0555816,Bander_Balilah
-2.0666516,9.20078,Bander_Balilah
-2.5897985,-3.0823934,Bander_Balilah
-2.749106,9.531356,Bander_Balilah
3.4447284,11.350232,Bander_Balilah
3.886039,11.102428,Bander_Balilah
-10.612455,3.8415284,Bander_Balilah
3.2766323,11.3534565,Bander_Balilah
-5.4014764,-4.8733087,Bander_Balilah
3.314265,11.345528,Bander_Balilah
3.0163825,11.313399,Bander_Balilah
-2.5460784,-3.0921762,Bander_Balilah
6.5066123,-5.069388,Bander_Balilah
-2.6003184,-3.0764751,Bander_Balilah
3.2028382,11.327262,Bander_Balilah
-2.363224,5.756555,Bander_Balilah
-10.571155,3.9251275,Bander_Balilah
-2.6690552,-3.11675,Bander_Balilah
-10.646492,3.908317,Bander_Balilah
-8.8928,-1.4493381,Bander_Balilah
-4.6588697,-6.2681794,Bander_Balilah
6.5014243,-4.860548,Bander_Balilah
-2.4697595,-3.099695,Bander_Balilah
-2.4971201,9.446215,Bander_Balilah
-7.832846,-2.016471,Bander_Balilah
-5.4504223,-4.990934,Bander_Balilah
-10.602513,1.8197,Bander_Balilah
6.930281,-7.974353,Bander_Balilah
-10.679195,3.9297736,Bander_Balilah
-5.4272914,-4.944894,Bander_Balilah
-9.059531,-1.3088689,Bander_Balilah
6.4684954,-5.3002615,Bander_Balilah
-10.690934,3.9998965,Bander_Balilah
-2.6217558,-3.0622175,Bander_Balilah
-5.42648,-4.999683,Bander_Balilah
6.533665,-5.5699816,Bander_Balilah
-5.4991074,5.5501213,Bander_Balilah
-2.4320135,9.419653,Bander_Balilah
6.5055485,-5.123198,Bander_Balilah
6.5376525,-5.0279365,Bander_Balilah
